ATDNNR,Country,Subdivision,Site,PlotCode,Altitude,Latitude,Longitude,PlotSize,PlotType,DBHmin,Owner/contact
833,Brazil,Mato Grosso,Alta Floresta city A,ALT_FL_A,,-9.94,-56.34,1,combi,10,Antonio Francisco Malheiros
834,Brazil,Amazonas,Reserva Biologica do Cuieiras,CUI_01,,-2.6,-60.21,1,single,10,Iêda Amaral
835,Brazil,Amazonas,Estacao Ecologica Anavilhanas,ANA_01,,-2.05,-60.37,1,single,10,"Iêda Amaral, Francisca Dionízia de Almeida Matos"
836,Brazil,Amazonas,Santa Isabel - Estrada do Tibara,SI_01,,-0.41,-64.95,1,single,10,Iêda Amaral
837,Brazil,Roraima,Caracarai,CARAC_01,,1.03,-62.09,1,single,10,Juan Gabriel Soler Alarcón
838,Bolivia,La Paz,"Parque Nacional Madidi, Rio Hondo",PP_Hondo_1,,-14.61,-67.65,1,single,10,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
839,Bolivia,La Paz,"Parque Nacional y Área Natural de Manejo Integrado Madidi. Rio Tuichi, Laguna Chalalan.Bosque amazónico estacional preandino.",PP_Chalal_6,,-14.42,-67.92,1,single,10,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
840,Bolivia,La Paz,la cuenca baja del río Tuichi y el arroyo Rudidi,RIO_TUI,,-14.36,-61.96,1,single,10,Miki Hernan Calzadilla-Tomianovich
841,Brazil,Roraima,P1 Floresta Ombrófila de Baixio - grid PPBio inventario,VIRUA_01,,1.49,-61.01,1,single,10,Rogerio Gribel
842,Brazil,Roraima,P2 Floresta Ombrófila sub-motana - grid PPBio inventario,VIRUA_02,,1.48,-61.01,1,single,10,Rogerio Gribel
843,Brazil,Roraima,P3 Campinarana Florestada (transição fl ombrofila) - Estr Perdida inventario,VIRUA_03,,1.48,-60.97,1,single,10,Rogerio Gribel
844,Brazil,Roraima,P4 Campinarana Florestada - Estrada Perdida inventario,VIRUA_04,,1.37,-60.98,1,single,10,Rogerio Gribel
845,Brazil,Roraima,P5 Floresta de Varzea e dique marginal - rio Barauna inventario,VIRUA_05,,1.42,-60.84,1,single,10,Rogerio Gribel
846,Brazil,Roraima,P6 Floresta de Terra Firme - rio Barauna inventario,VIRUA_06,,1.42,-60.85,1,single,10,Rogerio Gribel
848,Brazil,Roraima,P8 Floresta de Igapó - rio Iruá inventario,VIRUA_08,,1.03,-61.24,1,single,10,Rogerio Gribel
849,Brazil,Roraima,P10 Campinarana florestada - rio Iruá inventario,VIRUA_10,,1.12,-61.23,1,single,10,Rogerio Gribel
850,Brazil,Roraima,"P17 Floresta Varzea - rio Anauá, Campinho inventario",VIRUA_17,,0.96,-61.16,1,single,10,Rogerio Gribel
851,Brazil,Roraima,"P20 Floresta de Terra Firme - rio Rio Branco, trilha Ano Bom inventario",VIRUA_20,,1.55,-61.22,1,single,10,Rogerio Gribel
852,Brazil,Amazonas,"PDBFF1101_1, Gaviao",PDBFF1101_1,,-2.43,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
853,Brazil,Amazonas,"PDBFF1102_1, Gaviao",PDBFF1102_1,,-2.43,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
854,Brazil,Amazonas,"PDBFF1103_1, Gaviao",PDBFF1103_1,,-2.42,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
855,Brazil,Amazonas,"PDBFF1105_1, Gaviao",PDBFF1105_1,,-2.42,-59.82,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
856,Brazil,Amazonas,"PDBFF1109_1, KM34",PDBFF1109_1,,-2.38,-59.86,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
857,Brazil,Amazonas,"PDBFF1113_1, Florestal",PDBFF1113_1,,-2.4,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
858,Brazil,Amazonas,"PDBFF1301_1, Florestal",PDBFF1301_1,,-2.39,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
859,Brazil,Amazonas,"PDBFF1301_4, Florestal",PDBFF1301_4,,-2.38,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
860,Brazil,Amazonas,"PDBFF1301_5, Florestal",PDBFF1301_5,,-2.38,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
861,Brazil,Amazonas,"PDBFF1301_6, Florestal",PDBFF1301_6,,-2.39,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
862,Brazil,Amazonas,"PDBFF1301_7, Florestal",PDBFF1301_7,,-2.39,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
863,Brazil,Amazonas,"PDBFF1301_8, Florestal",PDBFF1301_8,,-2.39,-59.85,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
864,Brazil,Amazonas,"PDBFF1501_1, KM41",PDBFF1501_1,,-2.44,-59.77,1,single,10,Alexandre Adalardo de Oliveira
865,Brazil,Amazonas,"PDBFF1501_2, KM41",PDBFF1501_2,,-2.44,-59.76,1,single,10,Alexandre Adalardo de Oliveira
866,Brazil,Amazonas,"PDBFF1501_3, KM41",PDBFF1501_3,,-2.44,-59.77,1,single,10,Alexandre Adalardo de Oliveira
867,Brazil,Amazonas,"PDBFF2303_5, Dimona",PDBFF2303_5,,-2.32,-60.1,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
868,Brazil,Amazonas,"PDBFF2303_6, Dimona",PDBFF2303_6,,-2.32,-60.1,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
869,Brazil,Amazonas,"PDBFF3304_8, Porto Allegre",PDBFF3304_8,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
870,Brazil,Amazonas,"PDBFF3304_9, Porto Allegre",PDBFF3304_9,,-2.37,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
871,Brazil,Amazonas,"PDBFF3402_1, Cabo Frio",PDBFF3402_1,,-2.37,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
872,Brazil,Amazonas,"PDBFF3402_2, Cabo Frio",PDBFF3402_2,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
873,Brazil,Amazonas,"PDBFF3402_3, Cabo Frio",PDBFF3402_3,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
874,Brazil,Amazonas,"PDBFF3402_4, Cabo Frio",PDBFF3402_4,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
875,Brazil,Amazonas,"PDBFF3402_5, Cabo Frio",PDBFF3402_5,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
876,Brazil,Amazonas,"PDBFF3402_6, Cabo Frio",PDBFF3402_6,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
877,Brazil,Amazonas,"PDBFF3402_7, Cabo Frio",PDBFF3402_7,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
878,Brazil,Amazonas,"PDBFF3402_8, Cabo Frio",PDBFF3402_8,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
879,Brazil,Amazonas,"PDBFF3402_9, Cabo Frio",PDBFF3402_9,,-2.36,-59.97,1,single,10,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
880,Bolivia,Pando,Florencia,PANDO_01,,-11.46,-67.44,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
881,Bolivia,Pando,Sacrificio,PANDO_02,,-11.39,-67.3,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
882,Bolivia,Pando,Santa Rosa,PANDO_03,,-10.62,-67.42,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
883,Bolivia,Pando,San Pedro,PANDO_04,,-10.89,-67.53,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
884,Bolivia,Pando,San Juan Manupare,PANDO_05,,-11.66,-67.27,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
885,Bolivia,Pando,Blanca Flor,PANDO_06,,-11.74,-66.94,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
886,Bolivia,Pando,Reserva,PANDO_07,,-10.14,-66.18,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
887,Bolivia,Pando,Santo Domingo,PANDO_08,,-10.43,-66.34,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
888,Bolivia,Pando,Los Indios,PANDO_09,,-10.44,-65.56,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
889,Bolivia,Pando,Cachuela El Carmen,PANDO_10,,-10.26,-65.67,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
890,Bolivia,Pando,Asentamiento Palmitero,PANDO_11,,-10.09,-65.26,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
891,Bolivia,Pando,Puerto Península,PANDO_12,,-11.09,-67.27,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
892,Bolivia,Pando,Ayacucho,PANDO_13,,-11.24,-67.58,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
893,Bolivia,Pando,Barraca Oriente,PANDO_14,,-11.74,-67.39,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
894,Bolivia,Pando,Conquista,PANDO_15,,-11.32,-67.15,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
895,Bolivia,Pando,El Urucú,PANDO_16,,-11.92,-67.68,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
896,Bolivia,Pando,Montecarlo,PANDO_17,,-11.97,-67.65,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
897,Bolivia,Pando,Nuevo Orizonte,PANDO_18,,-11.71,-67.31,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
898,Bolivia,Pando,Chibé,PANDO_19,,-12.29,-68.57,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
899,Bolivia,Pando,Holanda,PANDO_20,,-11.78,-68.72,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
900,Bolivia,Pando,Lago,PANDO_21,,-11.44,-68.63,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
901,Bolivia,Pando,Extrema,PANDO_22,,-11.43,-69.22,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
902,Bolivia,Pando,Buen Futuro,PANDO_23,,-11.14,-69.24,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
903,Bolivia,Pando,Bioceánica,PANDO_24,,-11.09,-69.41,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
904,Bolivia,Pando,Posón,PANDO_25,,-11.56,-68.14,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
905,Bolivia,Pando,Hiroshima,PANDO_26,,-11.42,-67.82,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
906,Bolivia,Pando,Remanso,PANDO_27,,-11.24,-68.35,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
907,Bolivia,Pando,El Turi,PANDO_28,,-11.46,-67.03,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
908,Bolivia,Pando,Cinma,PANDO_29,,-10.36,-66.53,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
909,Bolivia,Pando,Rio Negro,PANDO_30,,-10.7,-66.03,1,single,10,"Bonifacio Mostacedo, Juan Carlos Montero"
910,Peru,Madre de Dios,"Tambopata, plot 7",TAM_08,220,-12.83,-69.27,1,single,10,"Oliver Phillips, Abel Monteagudo, Rodolfo Vasquez"
934,Brazil,Mato Grosso,"Fazenda Amoreis, Rio das Pacas, Querência",FAZ_AM,,-11.86,-52.88,1.005,pcq,10,Sustanis Horn Kunz
938,Colombia,Putumayo,CEA Mocoa PP1,CEA_01,,1.08,-76.63,1,single,10,"Maria Cristina Peñuela Mora, Eliana M. Jimenez"
939,Colombia,Putumayo,CEA Mocoa PP3,CEA_03,,1.08,-76.63,1,single,10,"Maria Cristina Peñuela Mora, Eliana M. Jimenez"
940,Colombia,Putumayo,CEA Mocoa PP2,CEA_02,,1.08,-76.63,1,single,10,"Maria Cristina Peñuela Mora, Eliana M. Jimenez"
941,Peru,Loreto,Sucusari D,SUC_04,107,-3.25,-72.89,1,single,10,"Oliver Phillips, Abel Monteagudo, Rodolfo Vasquez, Tim Baker"
942,Peru,Loreto,Sucusari E,SUC_05,118,-3.26,-72.89,1,single,10,"Oliver Phillips, Abel Monteagudo, Rodolfo Vasquez, Tim Baker"
943,Peru,Loreto,Sabalillo,SABAL,,-3.34,-72.31,1,single,10,Nigel Pitman
946,Brazil,Amapá,Reserva Extrativisma do Cajari,CAJARI,,-0.11,-51.29,1,single,10,Samuel Almeida
947,Bolivia,La Paz,"Parque Nacional Madidi, Río Heath, Bosque amazonico pluviestacional inundable.",PP_Heathi_7,,-13.03,-68.85,1,single,10,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
948,Bolivia,La Paz,"Parque Nacional Madidi, Rio Heath, Bosque amazonico pluviestacional de tierra firme.",PP_Heatht_8,,-13.03,-68.84,1,single,10,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
949,Brazil,Amazonas,Anavilhanas archipelago,RN_AN1,,-2.76,-60.76,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
950,Brazil,Amazonas,Anavilhanas archipelago,RN_AN2,,-2.69,-60.78,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
951,Brazil,Amazonas,Anavilhanas archipelago,RN_AN3,,-2.74,-60.75,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
952,Brazil,Amazonas,Barcelos,RN_BA1,,-0.69,-63.17,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
953,Brazil,Amazonas,Barcelos,RN_BA2,,-0.64,-63.27,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
954,Brazil,Amazonas,Barcelos,RN_BA3,,-0.49,-63.56,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
955,Brazil,Amazonas,Rio Jufaris,RN_JUF1,,-0.92,-62.3,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
956,Brazil,Amazonas,Rio Jufaris,RN_JUF2,,-1.09,-62.06,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
957,Brazil,Amazonas,Santa Isabel,RN_ST1,,-0.35,-63.91,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
958,Brazil,Amazonas,Santa Isabel,RN_ST2,,-0.46,-64.78,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
959,Brazil,Amazonas,Santa Isabel,RN_ST3,,-0.36,-64.31,1,single,10,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
960,Peru,Loreto,"Allpahuayo B, sandy",ALP_21,,-3.95,-73.44,0.48,single,10,"Rodolfo Vasquez, Abel Monteagudo, Oliver Phillips"
961,Peru,Loreto,"Allpahuayo B, clayed",ALP_22,,-3.95,-73.44,0.44,single,10,"Rodolfo Vasquez, Abel Monteagudo, Oliver Phillips"
974,Venezuela,Bolivar,"El Dorado, KM93, plotG1, ED1, ELD-01 *",ELD_01,220,6.1,-61.4,0.25,single,10,"Hirma Ramirez-Angulo, Geertje van der Heijden, Emilio Vilanova Torre, Oliver Phillips, Armando Torres-Lezama"
976,Venezuela,Bolivar,"El Dorado, km98, plotG3, ED2, ELD-03 *",ELD_03,404,6.08,-61.4,0.25,single,10,"Hirma Ramirez-Angulo, Geertje van der Heijden, Emilio Vilanova Torre, Oliver Phillips, Armando Torres-Lezama"
978,Peru,Loreto,"Centro de Investigaciones Jenaro Herrera, Quebrada Fierro Cano, 5.3 km al NE de Jenaro Herrera.",JEN_11,151,-4.88,-73.63,1,single,10,"Eurídice Honorio, Roel Brienen, Oliver Phillips"
979,Peru,Loreto,"Centro de Investigaciones Jenaro Herrera, 4.6 km al NEE de Jenaro Herrera.",JEN_12,122,-4.9,-73.63,1,single,10,"Eurídice Honorio, Roel Brienen, Oliver Phillips"
980,Peru,Madre de Dios,Jacaratia Los Amigos,LAS_02,235,-12.53,-70.08,1,single,10,"Nigel Pitman, Fernando Cornejo Valverde, César Vela, Therany Gonzales"
982,Peru,Pasco,Paujil Bosque Humedo Tropical,PNY_04,414,-10.34,-75.25,1,single,10,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
983,Peru,Pasco,Paujil-Venado Bosque Humedo Tropical,PNY_05,453,-10.35,-75.25,1,single,10,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
984,Peru,Pasco,Paujil-Venado Bosque Humedo Tropical,PNY_06,462,-10.36,-75.25,1,single,10,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
985,Peru,Pasco,PNY-07; Paujil-Venado Bosque Humedo Tropical,PNY_07,414,-10.35,-75.26,1,single,10,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
986,Venezuela,Bolivar,"Rio Grande, plotDA1, RG, RIO-01 *",RIO_01,312,8.11,-61.69,0.25,single,10,"Hirma Ramirez-Angulo, Geertje van der Heijden, Emilio Vilanova Torre, Oliver Phillips"
988,Bolivia,Cochabamba,Sacta Plot 6,SCT_06,248,-17.09,-64.77,1,single,10,"Luzmila Arroyo, Casimiro Mendoza, Oliver Phillips"
989,Peru,Loreto,Yanamono B,YAN_02,109,-3.43,-72.84,1,single,10,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips, Tim Baker"
990,Colombia,Guainía,INI_19mh-CP,INI_19mh_CP,,3.61,-67.55,1,combi,10,Dairon Cárdenas
991,Colombia,Guainía,INI_19mh-RA,INI_19mh_RA,,3.88,-67.86,0.6,combi,10,Dairon Cárdenas
992,Colombia,Guainía,INI_20mh-CP1,INI_20mh_CP1,,3.8,-67.83,1.4,combi,10,Dairon Cárdenas
993,Colombia,Guainía,INI_20mh-CP2,INI_20mh_CP2,,3.55,-67.67,0.7,combi,10,Dairon Cárdenas
994,Colombia,Guainía,INI_20mh-CP3,INI_20mh_CP3,,3.09,-67.79,1,combi,10,Dairon Cárdenas
995,Colombia,Guainía,INI_47-RI,INI_47_RI,,3.96,-67.79,0.5,combi,10,Dairon Cárdenas
996,Colombia,Guainía,INI_47-RM,INI_47_RM,,3.77,-67.96,0.5,combi,10,Dairon Cárdenas
997,Colombia,Guainía,INI_47-RT,INI_47_RT,,3.62,-67.82,0.5,combi,10,Dairon Cárdenas
998,Colombia,Guainía,INI_48-CV,INI_48_CV,,3.14,-67.78,0.5,combi,10,Dairon Cárdenas
999,Colombia,Guainía,INI_48-RM,INI_48_RM,,3.7,-67.47,0.5,combi,10,Dairon Cárdenas
1005,Brazil,Amazonas,"Lago Amana, plot TF1",AMANA_TF1,,-2.56,-64.7,1,single,10,"Jochen Schöngart, Florian Wittmann"
1006,Brazil,Amazonas,"Lago Amana, plot TF2",AMANA_TF2,,-2.57,-64.7,1,single,10,"Jochen Schöngart, Florian Wittmann"
1007,Brazil,Amazonas,"Lago Amana, plot TF3",AMANA_TF3,,-2.57,-64.71,1,single,10,"Jochen Schöngart, Florian Wittmann"
1008,Brazil,Amazonas,Reserva de Desenvolvimento Sustentável do Tupé,TUPE_01,,-3.04,-60.26,0.5,single,10,"Karen Souza Diniz, Veridiana Vizoni Scudeller"
1009,Brazil,Amapá,"Vila Progresso, Bailique, Varzea alta",AMAP_VP,,0.84,-50.12,1,single,5,José Antonio Leite de Queiroz
1010,Brazil,Amapá,"Ig. República, Varzea alta",AMAP_IP,,0.69,-50.42,1,single,5,José Antonio Leite de Queiroz
1011,Brazil,Amapá,"Rio Aracu, Varzea baixa",AMAP_FM,,0.28,-50.72,1,single,5,José Antonio Leite de Queiroz
1012,Brazil,Amapá,"Ig. Fortaleza, Varzea baixa",AMAP_II,,-0.08,-51.13,1,single,5,José Antonio Leite de Queiroz
1013,Brazil,Amapá,"Furo do Mazagão, Varzea alta",AMAP_RP,,-0.08,-51.32,1,single,5,José Antonio Leite de Queiroz
1014,Brazil,Amapá,"Ig. Inveja, Varzea alta",AMAP_IR,,-0.15,-51.27,1,single,5,José Antonio Leite de Queiroz
1015,Brazil,Amapá,Rio Mutuacá/Mazagão,AMAP_RA,,-0.21,-51.31,1,single,5,José Antonio Leite de Queiroz
1016,Brazil,Amapá,"Rio Ajudante, Varzea baixa",AMAP_IF,,-0.48,-51.52,1,single,5,José Antonio Leite de Queiroz
1017,Brazil,Amapá,"Rio Preto, Varzea alta",AMAP_RM,,-0.64,-51.65,1,single,5,José Antonio Leite de Queiroz
1018,Brazil,Amapá,"Rio Maniva, Ilha do Pará, Varzea baixa",AMAP_RJ,,-0.15,-51.14,1,single,5,José Antonio Leite de Queiroz
1021,Brazil,Mato Grosso,"Fazenda Sao Sebastiao, Rio das Pacas, Querência",FAZ_SS,,-11.96,-52.58,0.978,pcq,10,Sustanis Horn Kunz
1022,Brazil,Mato Grosso,"Fazenda Dois Americanos, Rio das Pacas, Querência",FAZ_DA,,-12.21,-52.58,1,pcq,10,Sustanis Horn Kunz
1023,Brazil,Amazonas,"Ducke, Igarape Barro Branco 1",RD_BB_01,,-2.93,-59.98,1,single,10,"Joneido Mouzinho de Brito, Florian Wittmann"
1025,Brazil,Tocantins,"Campo Sujo, Lagoa da Confusão 1",LCON_01,,-10.89,-49.63,1,single,5,Elizabeth Rodrigues Brito
1026,Brazil,Tocantins,"Campo Sujo, Lagoa da Confusão 2",LCON_02,,-10.89,-49.63,1,single,5,"Karen Souza Diniz, Veridiana Vizoni Scudeller"
1027,Colombia,Amazonas,"Pena Roja, Araracuara",ARA_PR,,-0.71,-72.06,0.4,single,10,"Maria Cristina Peñuela Mora, Eliana M. Jimenez"
1038,Brazil,Pará,"Reserva Extrativista Chocoaré-Mato Grosso, Santarém Novo 1.1",REMG_01,,-0.92,-47.38,1,single,10,Fábio de Jesus Batista
1039,Brazil,Pará,"Reserva Extrativista Chocoaré-Mato Grosso, Santarém Novo 1.2",REMG_02,,-0.92,-47.38,1,single,10,Fábio de Jesus Batista
1042,Venezuela,Bolivar,"Sierra Maigualida, Cano Iguana (IG)",SM_IG,,5.47,-65.5,1,single,10,"Stanford Zent, Egleé Zent"
1043,Venezuela,Bolivar,"Sierra Maigualida, Cano Kayama (KA)",SM_KA,,6.33,-65.27,1,single,10,"Stanford Zent, Egleé Zent"
1044,Venezuela,Bolivar,"Sierra Maigualida, Cano Majagua (MA)",SM_MA,,5.35,-65.76,1,single,10,"Stanford Zent, Egleé Zent"
1045,Venezuela,Bolivar,"Sierra Maigualida, Cano Mosquita (MO)",SM_MO,,5.69,-65.54,1,single,10,"Stanford Zent, Egleé Zent"
1047,Brazil,Pará,"Ilha Combu, Varzea Baixa",COMBU_VB,,-1.5,-48.46,5,single,10,Mário Augusto Gonçalves Jardim
1048,Brazil,Pará,"Ilha Combu, Varzea Alta",COMBU_VA,,-1.5,-48.46,5,single,10,Mário Augusto Gonçalves Jardim
1051,Bolivia,Santa Cruz,BEEM plot 1,BEE_01,180,-16.53,-64.58,1,single,10,"Luzmila Arroyo, Oliver Phillips"
1052,Bolivia,Santa Cruz,BEEM plot 5,BEE_05,180,-16.53,-64.58,1,single,10,"Luzmila Arroyo, Oliver Phillips"
1053,Peru,Loreto,Sucusari C,SUC_03,118,-3.25,-72.92,1,single,10,"Oliver Phillips, Abel Monteagudo, Rodolfo Vasquez, Tim Baker"
1054,Peru,Loreto,Allpahuayo D,ALP_40,146,-3.94,-73.44,1,single,10,"Oliver Phillips, Abel Monteagudo, Freddy Ramirez Arevalo"
1055,Guyana,Upper Takutu-Upper Essequibo,"Iwokrama 03, mixed forest ",IWO_03,100,4.53,-58.78,1,single,10,"Roel Brienen, Abel Monteagudo, Hans ter Steege, Oliver Phillips, Raquel Thomas-Caesar"
1056,Guyana,Upper Takutu-Upper Essequibo,"Iwokrama 9, white sand ",IWO_09,116,4.61,-58.73,1,single,10,"Roel Brienen, Abel Monteagudo, Hans ter Steege, Oliver Phillips, Raquel Thomas-Caesar"
1057,Guyana,Upper Takutu-Upper Essequibo,"Iwokrama 11, Brown sand",IWO_11,62,4.62,-58.72,1,single,10,"Roel Brienen, Abel Monteagudo, Hans ter Steege, Oliver Phillips, Raquel Thomas-Caesar"
1058,Guyana,Upper Takutu-Upper Essequibo,"Iwokrama 12, Turtle Mountain ",IWO_12,61,4.73,-58.72,1,single,10,"Roel Brienen, Abel Monteagudo, Hans ter Steege, Oliver Phillips, Raquel Thomas-Caesar"
1059,Peru,Loreto,Allpahuayo-Mishana AMC,PF_AMC,,-3.95,-73.41,0.1,single,5,Paul Fine
1060,Peru,Loreto,Allpahuayo-Mishana AMD,PF_AMD,,-3.94,-73.44,0.1,single,5,Paul Fine
1061,Peru,Loreto,Upper Nanay ANV,PF_ANV,,-3.74,-74.13,0.1,single,5,Paul Fine
1062,Peru,Loreto,Jeberos,PF_JEB,,-5.3,-76.27,0.1,single,5,Paul Fine
1063,Peru,Loreto,Jenaro Herrera JH1,PF_JH1,,-4.85,-73.6,0.1,single,5,Paul Fine
1064,Peru,Loreto,Jenaro Herrera JH2,PF_JH2,,-4.85,-73.6,0.1,single,5,Paul Fine
1065,Peru,Loreto,Morona MB,PF_MB,,-4.27,-77.23,0.1,single,5,Paul Fine
1066,Peru,Loreto,Tamshiyacu TA1,PF_TA1,,-3.98,-73.07,0.1,single,5,Paul Fine
1067,Ecuador,Guainía,el Chuncho-Payamino,PAYAMINO,,-0.47,-77.17,1,single,10,"Walter Palacios, David Neill, Juan Ernesto Guevara"
1068,Bolivia,La Paz,Copacabana  1,LAPAZ_01,270,-13.64,-68.4,1,single,10,Juan Carlos Licona
1069,Bolivia,La Paz,Siete Palmas 2,LAPAZ_02,250,-13.65,-68.37,1,single,10,Juan Carlos Licona
1070,Bolivia,La Paz,La Candelaria 3,LAPAZ_03,299,-13.56,-68.54,1,single,10,Juan Carlos Licona
1071,Bolivia,La Paz,San Antonio  4,LAPAZ_04,296,-13.56,-68.54,1,single,10,Juan Carlos Licona
1072,Bolivia,La Paz,San Pedro 5,LAPAZ_05,292,-13.55,-67.86,1,single,10,Juan Carlos Licona
1073,Bolivia,La Paz,San Pedro 6,LAPAZ_06,292,-13.55,-67.86,1,single,10,Juan Carlos Licona
1074,Bolivia,La Paz,Caoba 7,LAPAZ_07,234,-13.54,-68.18,1,single,10,Juan Carlos Licona
1075,Bolivia,La Paz,AGROFORT 8?,LAPAZ_08,245,-14.11,-67.76,1,single,10,Juan Carlos Licona
1076,Bolivia,La Paz,AGROFORT 9?,LAPAZ_09,237,-14.11,-67.76,1,single,10,Juan Carlos Licona
1077,Venezuela,Bolivar,"La Escalera, PN2",LAESC_PN2,,6.1,-61.4,1,single,10,Lionel Hernandez
